image_id,image_path,xmin,ymin,xmax,ymax,label,class_name,source,proposal_score,proposal_class,matched_iou
000012,/home/susech/SDM271/project/data/PascalVOC/VOCdevkit/VOC2007/JPEGImages/000012.jpg,156.0,97.0,351.0,270.0,6,car,gt,1.0,gt,1.0
000012,/home/susech/SDM271/project/data/PascalVOC/VOCdevkit/VOC2007/JPEGImages/000012.jpg,158.099,97.842,347.646,271.302,6,car,proposal,0.994798,car,0.960278
000017,/home/susech/SDM271/project/data/PascalVOC/VOCdevkit/VOC2007/JPEGImages/000017.jpg,185.0,62.0,279.0,199.0,14,person,gt,1.0,gt,1.0
000017,/home/susech/SDM271/project/data/PascalVOC/VOCdevkit/VOC2007/JPEGImages/000017.jpg,90.0,78.0,403.0,336.0,12,horse,gt,1.0,gt,1.0
000017,/home/susech/SDM271/project/data/PascalVOC/VOCdevkit/VOC2007/JPEGImages/000017.jpg,172.446,60.314,292.728,200.322,14,person,proposal,0.99821,person,0.764708
000017,/home/susech/SDM271/project/data/PascalVOC/VOCdevkit/VOC2007/JPEGImages/000017.jpg,89.813,74.844,409.93,328.121,12,horse,proposal,0.99587,horse,0.937081
000023,/home/susech/SDM271/project/data/PascalVOC/VOCdevkit/VOC2007/JPEGImages/000023.jpg,9.0,230.0,245.0,499.0,1,bicycle,gt,1.0,gt,1.0
000023,/home/susech/SDM271/project/data/PascalVOC/VOCdevkit/VOC2007/JPEGImages/000023.jpg,230.0,220.0,333.0,499.0,1,bicycle,gt,1.0,gt,1.0
000023,/home/susech/SDM271/project/data/PascalVOC/VOCdevkit/VOC2007/JPEGImages/000023.jpg,2.0,178.0,90.0,499.0,1,bicycle,gt,1.0,gt,1.0
000023,/home/susech/SDM271/project/data/PascalVOC/VOCdevkit/VOC2007/JPEGImages/000023.jpg,2.0,1.0,117.0,369.0,14,person,gt,1.0,gt,1.0
000023,/home/susech/SDM271/project/data/PascalVOC/VOCdevkit/VOC2007/JPEGImages/000023.jpg,3.0,2.0,243.0,462.0,14,person,gt,1.0,gt,1.0
000023,/home/susech/SDM271/project/data/PascalVOC/VOCdevkit/VOC2007/JPEGImages/000023.jpg,225.0,1.0,333.0,486.0,14,person,gt,1.0,gt,1.0
000023,/home/susech/SDM271/project/data/PascalVOC/VOCdevkit/VOC2007/JPEGImages/000023.jpg,8.606,6.684,238.334,479.745,14,person,proposal,0.997547,person,0.913716
000023,/home/susech/SDM271/project/data/PascalVOC/VOCdevkit/VOC2007/JPEGImages/000023.jpg,7.559,222.967,240.434,499.0,1,bicycle,proposal,0.993595,bicycle,0.950421
000023,/home/susech/SDM271/project/data/PascalVOC/VOCdevkit/VOC2007/JPEGImages/000023.jpg,239.291,9.304,333.0,466.004,14,person,proposal,0.990562,person,0.815262
000023,/home/susech/SDM271/project/data/PascalVOC/VOCdevkit/VOC2007/JPEGImages/000023.jpg,242.779,208.554,331.557,498.348,1,bicycle,proposal,0.957214,bicycle,0.81999
000023,/home/susech/SDM271/project/data/PascalVOC/VOCdevkit/VOC2007/JPEGImages/000023.jpg,0.0,221.135,90.675,499.0,1,bicycle,proposal,0.956818,bicycle,0.843829
000023,/home/susech/SDM271/project/data/PascalVOC/VOCdevkit/VOC2007/JPEGImages/000023.jpg,2.296,10.43,101.442,433.053,14,person,proposal,0.817588,person,0.730437
000026,/home/susech/SDM271/project/data/PascalVOC/VOCdevkit/VOC2007/JPEGImages/000026.jpg,90.0,125.0,337.0,212.0,6,car,gt,1.0,gt,1.0
000026,/home/susech/SDM271/project/data/PascalVOC/VOCdevkit/VOC2007/JPEGImages/000026.jpg,87.332,127.211,331.601,215.717,6,car,proposal,0.998342,car,0.905502
000032,/home/susech/SDM271/project/data/PascalVOC/VOCdevkit/VOC2007/JPEGImages/000032.jpg,104.0,78.0,375.0,183.0,0,aeroplane,gt,1.0,gt,1.0
000032,/home/susech/SDM271/project/data/PascalVOC/VOCdevkit/VOC2007/JPEGImages/000032.jpg,133.0,88.0,197.0,123.0,0,aeroplane,gt,1.0,gt,1.0
